stemID,species,dbh.cm,xdist,ydist,Jenkins_type
1150,ABAM,7.1,369.32,175.53,tf
1151,ABAM,11.3,367.63,175.84,tf
1152,ABGR,51.9,363.93,175.94,tf
1153,TSHE,5.5,363.08,175.9,tf
1154,TSHE,30.8,362.2,175.81,tf
1155,TABR,11.1,355.74,175.37,tf
1156,ABGR,27.8,358.7,176.66,tf
1157,ABAM,5.2,357.75,176.92,tf
1158,CONU,6.1,353.24,177.93,mh
1160,TSHE,23.3,356.87,179.42,tf
1164,ABAM,7.1,368.38,177.14,tf
1166,PSME,91.5,362.24,180.03,pm
1167,TSHE,15.7,365.18,179.81,tf
1169,TABR,11,352.16,183.8,tf
1170,TSHE,21,351.18,187.27,tf
1171,ABAM,11.2,354.21,186.5,tf
1174,TSHE,27,365.44,181.01,tf
1176,ABAM,7.7,362.25,184.27,tf
1177,TABR,12.8,353.54,190.1,tf
1179,TSHE,84.8,353.83,194.77,tf
1181,ABAM,5.6,359.33,189.97,tf
1182,TSHE,7.3,364.85,184.74,tf
1183,TSHE,13,359.32,193.13,tf
1184,TSHE,76.5,359.62,192.82,tf
1185,TSHE,8.2,354.83,197.04,tf
1187,TSHE,25,368.38,183.69,tf
1189,TSHE,13.4,369.99,181.83,tf
1190,TSHE,50.5,360.9,195.07,tf
1193,THPL,106.1,372.91,178.88,cl
1195,TSHE,17.3,370.3,185.33,tf
1196,TABR,14.8,368.87,188.5,tf
1198,TSHE,14.5,363.4,197.2,tf
1200,ABAM,14,370.09,195.07,tf
1202,TSHE,41.7,373.72,189.86,tf
1203,ABAM,8.8,373.96,192.73,tf
1204,TSHE,17.1,374.81,185.88,tf
1207,TSHE,40.7,355.8,150.37,tf
1208,TSHE,86.6,355.12,150.99,tf
1209,ABAM,6.4,351.84,150.53,tf
1210,TSHE,78.2,373.15,151.46,tf
1212,TSHE,15.3,356.17,159.26,tf
1213,THPL,51.6,355.1,160.21,cl
1214,THPL,108,352.74,161.54,cl
1215,TSHE,39.2,353.61,161.82,tf
1216,TSHE,18.2,358.63,159.86,tf
1217,TSHE,51,360.66,159.74,tf
1218,TSHE,42.4,354,165.55,tf
1219,TSHE,9.4,361.99,160.23,tf
1220,TSHE,28.3,366.07,157.73,tf
1221,TSHE,23.9,360.91,162.62,tf
1222,TSHE,13.9,366.32,158.37,tf
1223,TSHE,7.9,366.88,158.28,tf
1225,TSHE,87.3,352.48,170.9,tf
1226,ABAM,5.4,354.49,170.81,tf
